MRGID,GEONAME,TERRITORY1,ISO_TER1,SOVEREIGN1,TERRITORY2,ISO_TER2,SOVEREIGN2,MRGID_TER3,MRGID_SOV3,TERRITORY3,ISO_TER3,SOVEREIGN3,SIS_name0,SIS_name1,To_split
5670,Albanian Exclusive Economic Zone,Albania,ALB,Albania,NA,NA,NA,0,0,NA,NA,NA,Albania,,
8378,Algerian Exclusive Economic Zone,Algeria,DZA,Algeria,NA,NA,NA,0,0,NA,NA,NA,Algeria,,
8444,American Samoa Exclusive Economic Zone,American Samoa,ASM,United States,NA,NA,NA,0,0,NA,NA,NA,American Samoa,,
8478,Angolan Exclusive Economic Zone,Angola,AGO,Angola,NA,NA,NA,0,0,NA,NA,NA,Angola,,
8412,Anguilla Exclusive Economic Zone,Anguilla,AIA,United Kingdom,NA,NA,NA,0,0,NA,NA,NA,Anguilla,,
8489,Antarctic 200NM zone beyond the coastline,Antarctica,ATA,Antarctica,NA,NA,NA,0,0,NA,NA,NA,Antarctica,,
8414,Antigua and Barbuda Exclusive Economic Zone,Antigua and Barbuda,ATG,Antigua and Barbuda,NA,NA,NA,0,0,NA,NA,NA,Antigua and Barbuda,,
8466,Argentinean Exclusive Economic Zone,Argentina,ARG,Argentina,NA,NA,NA,0,0,NA,NA,NA,Argentina,,
26519,Aruban Exclusive Economic Zone,Aruba,ABW,Netherlands,NA,NA,NA,0,0,NA,NA,NA,Aruba,,
8323,Australian Exclusive Economic Zone,Australia,AUS,Australia,NA,NA,NA,0,0,NA,NA,NA,Australia,,
8311,Australian Exclusive Economic Zone (Macquarie Island),Macquarie Island,NA,Australia,NA,NA,NA,0,0,NA,NA,NA,Australia,Macquarie I.,
26524,Azerbaijanis Exclusive Economic Zone,Azerbaijan,AZE,Azerbaijan,NA,NA,NA,0,0,NA,NA,NA,Azerbaijan,,
8404,Bahamas Exclusive Economic Zone,Bahamas,BHS,Bahamas,NA,NA,NA,0,0,NA,NA,NA,Bahamas,,
8358,Bahraini Exclusive Economic Zone,Bahrain,BHR,Bahrain,NA,NA,NA,0,0,NA,NA,NA,Bahrain,,
8481,Bangladeshi Exclusive Economic Zone,Bangladesh,BGD,Bangladesh,NA,NA,NA,0,0,NA,NA,NA,Bangladesh,,
8418,Barbados Exclusive Economic Zone,Barbados,BRB,Barbados,NA,NA,NA,0,0,NA,NA,NA,Barbados,,
48969,Joint regime area Guyana / Barbados,Barbados,BRB,Barbados,Guyana,GUY,Guyana,0,0,NA,NA,NA,Barbados,,
3293,Belgian Exclusive Economic Zone,Belgium,BEL,Belgium,NA,NA,NA,0,0,NA,NA,NA,Belgium,,
8457,Belizean Exclusive Economic Zone,Belize,BLZ,Belize,NA,NA,NA,0,0,NA,NA,NA,Belize,,
8393,Beninese Exclusive Economic Zone,Benin,BEN,Benin,NA,NA,NA,0,0,NA,NA,NA,Benin,,
8402,Bermudian Exclusive Economic Zone,Bermuda,BMU,United Kingdom,NA,NA,NA,0,0,NA,NA,NA,Bermuda,,
26520,Bonaire Exclusive Economic Zone,Bonaire,BES,Netherlands,NA,NA,NA,0,0,NA,NA,NA,"Bonaire, Sint Eustatius and Saba",Bonaire,
26518,Saba Exclusive Economic Zone,Saba,BES,Netherlands,NA,NA,NA,0,0,NA,NA,NA,"Bonaire, Sint Eustatius and Saba",Saba,
26526,Sint-Eustatius Exclusive Economic Zone,Sint-Eustatius,BES,Netherlands,NA,NA,NA,0,0,NA,NA,NA,"Bonaire, Sint Eustatius and Saba",Sint Eustatius,
22491,Bosnian and Herzegovinian Exclusive Economic Zone,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,NA,NA,NA,0,0,NA,NA,NA,Bosnia and Herzegovina,,
8464,Brazilian Exclusive Economic Zone,Brazil,BRA,Brazil,NA,NA,NA,0,0,NA,NA,NA,Brazil,,
